player,pos,age,exp,fa_type,signed_for_aav
Keaton Wallace,G,26,1 yrs,rfa,
TyTy Washington Jr.,G,23,3 yrs,ufa,
Lindy Waters III,F,27,4 yrs,ufa,
Trendon Watford,G-F,24,4 yrs,ufa,2631405
Anton Watson,F,24,1 yrs,ufa,
Blake Wesley,G,22,3 yrs,ufa,
Russell Westbrook,G,36,17 yrs,ufa,
Jaylin Williams,F,23,3 yrs,rfa,
Ziaire Williams,F,23,5 yrs,ufa,6000000
Jalen Wilson,F,24,2 yrs,rfa,
James Wiseman,C,24,4 yrs,ufa,
Delon Wright,G,33,10 yrs,ufa,
Guerschon Yabusele,F,29,3 yrs,ufa,5637500
Vlatko Čančar,F,28,5 yrs,ufa,
Dario Šarić,F-C,31,8 yrs,ufa,
